Arquivo,Metodo,Threads_Nucl,Amostra,Contagem,Tempo_ms
Dracula-165307.txt,SerialCPU,1,1,6803,2
Dracula-165307.txt,SerialCPU,1,2,6803,0
Dracula-165307.txt,SerialCPU,1,3,6803,1
Dracula-165307.txt,ParallelCPU,2,1,6803,4
Dracula-165307.txt,ParallelCPU,2,2,6803,1
Dracula-165307.txt,ParallelCPU,2,3,6803,1
Dracula-165307.txt,ParallelCPU,4,1,6803,0
Dracula-165307.txt,ParallelCPU,4,2,6803,0
Dracula-165307.txt,ParallelCPU,4,3,6803,0
Dracula-165307.txt,ParallelCPU,8,1,6803,0
Dracula-165307.txt,ParallelCPU,8,2,6803,0
Dracula-165307.txt,ParallelCPU,8,3,6803,0
Dracula-165307.txt,ParallelGPU,GPU_Massivo,1,6803,217
Dracula-165307.txt,ParallelGPU,GPU_Massivo,2,6803,192
Dracula-165307.txt,ParallelGPU,GPU_Massivo,3,6803,207
MobyDick-217452.txt,SerialCPU,1,1,12352,0
MobyDick-217452.txt,SerialCPU,1,2,12352,0
MobyDick-217452.txt,SerialCPU,1,3,12352,0
MobyDick-217452.txt,ParallelCPU,2,1,12352,0
MobyDick-217452.txt,ParallelCPU,2,2,12352,0
MobyDick-217452.txt,ParallelCPU,2,3,12352,0
MobyDick-217452.txt,ParallelCPU,4,1,12352,0
MobyDick-217452.txt,ParallelCPU,4,2,12352,0
MobyDick-217452.txt,ParallelCPU,4,3,12352,0
MobyDick-217452.txt,ParallelCPU,8,1,12352,0
MobyDick-217452.txt,ParallelCPU,8,2,12352,0
MobyDick-217452.txt,ParallelCPU,8,3,12352,0
MobyDick-217452.txt,ParallelGPU,GPU_Massivo,1,12352,194
MobyDick-217452.txt,ParallelGPU,GPU_Massivo,2,12352,193
MobyDick-217452.txt,ParallelGPU,GPU_Massivo,3,12352,223
DonQuixote-388208.txt,SerialCPU,1,1,161,0
DonQuixote-388208.txt,SerialCPU,1,2,161,0
DonQuixote-388208.txt,SerialCPU,1,3,161,0
DonQuixote-388208.txt,ParallelCPU,2,1,161,0
DonQuixote-388208.txt,ParallelCPU,2,2,161,0
DonQuixote-388208.txt,ParallelCPU,2,3,161,0
DonQuixote-388208.txt,ParallelCPU,4,1,161,0
DonQuixote-388208.txt,ParallelCPU,4,2,161,0
DonQuixote-388208.txt,ParallelCPU,4,3,161,0
DonQuixote-388208.txt,ParallelCPU,8,1,161,0
DonQuixote-388208.txt,ParallelCPU,8,2,161,0
DonQuixote-388208.txt,ParallelCPU,8,3,161,9
DonQuixote-388208.txt,ParallelGPU,GPU_Massivo,1,161,197
DonQuixote-388208.txt,ParallelGPU,GPU_Massivo,2,161,190
DonQuixote-388208.txt,ParallelGPU,GPU_Massivo,3,161,192
